,time,open,high,low,close,tick_volume,spread,real_volume
2520,2023-09-25 04:30:00,1924.21,1924.33,1922.85,1922.87,660,27,0
2521,2023-09-25 04:45:00,1922.88,1924.11,1922.77,1923.56,709,26,0
2522,2023-09-25 05:00:00,1923.51,1923.59,1922.76,1923.09,504,33,0
2523,2023-09-25 05:15:00,1923.07,1923.37,1922.53,1922.71,328,36,0
2524,2023-09-25 05:30:00,1922.73,1923.4,1922.65,1923.14,400,36,0
2525,2023-09-25 05:45:00,1923.16,1923.77,1923.1,1923.58,306,37,0
2526,2023-09-25 06:00:00,1923.58,1924.13,1923.44,1923.96,295,31,0
2527,2023-09-25 06:15:00,1923.96,1923.96,1922.73,1923.23,428,29,0
2528,2023-09-25 06:30:00,1923.21,1923.9,1923.2,1923.87,236,31,0
2529,2023-09-25 06:45:00,1923.87,1923.89,1923.43,1923.53,218,35,0
2530,2023-09-25 07:00:00,1923.52,1923.52,1922.91,1923.16,263,33,0
2531,2023-09-25 07:15:00,1923.14,1923.24,1922.66,1922.92,255,36,0
2532,2023-09-25 07:30:00,1922.93,1923.31,1922.89,1922.92,277,35,0
2533,2023-09-25 07:45:00,1922.93,1923.53,1922.93,1923.02,242,34,0
2534,2023-09-25 08:00:00,1923.0,1923.42,1922.85,1923.01,361,30,0
2535,2023-09-25 08:15:00,1923.02,1923.04,1922.59,1922.66,405,32,0
2536,2023-09-25 08:30:00,1922.66,1922.94,1921.72,1922.23,806,28,0
2537,2023-09-25 08:45:00,1922.22,1922.51,1921.55,1921.55,500,29,0
2538,2023-09-25 09:00:00,1921.55,1921.81,1920.94,1921.44,979,32,0
2539,2023-09-25 09:15:00,1921.41,1921.88,1920.77,1921.08,695,30,0
2540,2023-09-25 09:30:00,1921.08,1922.52,1920.92,1922.27,910,27,0
2541,2023-09-25 09:45:00,1922.39,1924.71,1922.39,1923.97,1140,28,0
2542,2023-09-25 10:00:00,1923.94,1927.05,1923.76,1926.71,1773,27,0
2543,2023-09-25 10:15:00,1926.77,1926.77,1924.08,1924.51,997,30,0
2544,2023-09-25 10:30:00,1924.51,1924.51,1923.82,1923.88,941,27,0
2545,2023-09-25 10:45:00,1923.88,1923.88,1922.34,1923.33,935,27,0
2546,2023-09-25 11:00:00,1923.32,1923.65,1922.62,1922.76,1318,28,0
2547,2023-09-25 11:15:00,1922.77,1922.82,1920.88,1921.39,1185,26,0
2548,2023-09-25 11:30:00,1921.39,1923.56,1921.2,1923.45,1261,28,0
2549,2023-09-25 11:45:00,1923.46,1923.71,1921.28,1921.61,883,31,0
2550,2023-09-25 12:00:00,1921.58,1922.3,1921.47,1922.07,747,29,0
2551,2023-09-25 12:15:00,1922.08,1922.44,1921.52,1922.3,708,26,0
2552,2023-09-25 12:30:00,1922.29,1922.37,1921.58,1922.09,830,28,0
2553,2023-09-25 12:45:00,1922.09,1922.99,1921.99,1922.71,673,29,0
2554,2023-09-25 13:00:00,1922.71,1923.15,1922.06,1922.94,858,29,0
2555,2023-09-25 13:15:00,1922.95,1924.34,1922.95,1924.33,663,26,0
2556,2023-09-25 13:30:00,1924.4,1924.74,1923.57,1923.97,564,30,0
2557,2023-09-25 13:45:00,1923.98,1924.82,1923.59,1924.75,615,29,0
2558,2023-09-25 14:00:00,1924.75,1924.89,1924.19,1924.56,722,27,0
2559,2023-09-25 14:15:00,1924.56,1924.74,1923.63,1923.72,669,30,0
2560,2023-09-25 14:30:00,1923.8,1924.41,1923.57,1924.4,1033,27,0
2561,2023-09-25 14:45:00,1924.4,1924.71,1923.64,1923.94,1091,29,0
2562,2023-09-25 15:00:00,1923.93,1925.21,1923.77,1924.18,1381,27,0
2563,2023-09-25 15:15:00,1924.17,1924.5,1923.52,1924.35,1507,26,0
